date,DEXUSUK,DEXUSUK_scaled,lag_1_scaled
2016-06-10,1.4342,0.5023796932839768,0.5244138903578355
2016-06-13,1.4223,0.48140313766966303,0.5023796932839768
2016-06-14,1.413,0.4650096950467124,0.48140313766966303
2016-06-15,1.4185,0.4747047417592105,0.4650096950467124
2016-06-16,1.4075,0.45531464833421476,0.4747047417592105
2016-06-17,1.4285,0.49233209941829736,0.45531464833421476
2016-06-20,1.4688,0.5633703507844174,0.49233209941829736
2016-06-21,1.4668,0.5598448792526001,0.5633703507844174
2016-06-22,1.4682,0.5623127093248721,0.5598448792526001
2016-06-23,1.48,0.5831129913625945,0.5623127093248721
2016-06-24,1.3639,0.37845936894059573,0.5831129913625945
2016-06-27,1.3217,0.3040719196192492,0.37845936894059573
2016-06-28,1.3294,0.317644985016746,0.3040719196192492
2016-06-29,1.351,0.3557200775603735,0.317644985016746
2016-06-30,1.3242,0.308478759034021,0.3557200775603735
2016-07-01,1.3281,0.31535342852106485,0.308478759034021
2016-07-04,1.3281,0.31535342852106485,0.31535342852106485
2016-07-05,1.3021,0.2695222986074386,0.31535342852106485
2016-07-06,1.2921,0.25189494094835174,0.2695222986074386
2016-07-07,1.2926,0.2527763088313062,0.25189494094835174
2016-07-08,1.2938,0.2548915917503969,0.2527763088313062
2016-07-11,1.2986,0.2633527234267583,0.2548915917503969
2016-07-12,1.3237,0.30759739115106655,0.2633527234267583
2016-07-13,1.318,0.2975497972853871,0.30759739115106655
2016-07-14,1.3332,0.32434338092719894,0.2975497972853871
2016-07-15,1.3194,0.3000176273576587,0.32434338092719894
2016-07-18,1.3279,0.31500088136788307,0.3000176273576587
2016-07-19,1.3123,0.2875022034197072,0.31500088136788307
2016-07-20,1.3179,0.2973735237087962,0.2875022034197072
2016-07-21,1.3216,0.3038956460426583,0.2973735237087962
2016-07-22,1.3091,0.2818614489687996,0.3038956460426583
2016-07-25,1.313,0.28873611845584346,0.2818614489687996
2016-07-26,1.3133,0.2892649391856157,0.28873611845584346
2016-07-27,1.3094,0.28239026969857184,0.2892649391856157
2016-07-28,1.3151,0.2924378635642517,0.28239026969857184
2016-07-29,1.327,0.31341441917856505,0.2924378635642517
2016-08-01,1.3209,0.30266173100652205,0.31341441917856505
2016-08-02,1.3326,0.3232857394676536,0.30266173100652205
2016-08-03,1.3335,0.3248722016569716,0.3232857394676536
2016-08-04,1.3143,0.2910276749515246,0.3248722016569716
2016-08-05,1.3069,0.27798343028380046,0.2910276749515246
2016-08-08,1.3042,0.27322404371584685,0.27798343028380046
2016-08-09,1.301,0.26758328926493924,0.27322404371584685
2016-08-10,1.2998,0.265468006345849,0.26758328926493924
2016-08-11,1.296,0.2587696104353956,0.265468006345849
2016-08-12,1.2934,0.2541864974440333,0.2587696104353956
2016-08-15,1.2874,0.2436100828485812,0.2541864974440333
2016-08-16,1.3019,0.26916975145425726,0.2436100828485812
2016-08-17,1.3012,0.2679358364181206,0.26916975145425726
2016-08-18,1.3147,0.29173276925788816,0.2679358364181206
2016-08-19,1.3061,0.27657324167107333,0.29173276925788816
2016-08-22,1.3133,0.2892649391856157,0.27657324167107333
2016-08-23,1.3179,0.2973735237087962,0.2892649391856157
2016-08-24,1.3236,0.30742111757447566,0.2973735237087962
2016-08-25,1.3177,0.29702097655561444,0.30742111757447566
2016-08-26,1.3168,0.2954345143662964,0.29702097655561444
2016-08-29,1.3089,0.28150890181561783,0.2954345143662964
2016-08-30,1.3084,0.2806275339326634,0.28150890181561783
2016-08-31,1.3129,0.28855984487925257,0.2806275339326634
2016-09-01,1.3273,0.3139432399083377,0.28855984487925257
2016-09-02,1.3299,0.31852635289970044,0.3139432399083377
2016-09-05,1.3299,0.31852635289970044,0.31852635289970044
2016-09-06,1.3429,0.3414419178565131,0.31852635289970044
